,day_of_week,hour_of_day,normalized_energy,average_energy,t_3,t_2,t_1,true_value,ARX_predict_value
0,0.0,3.0,0.04040404,0.0718786634290513,0.04040404,0.04040404,0.04040404,-0.0314746234290513,0.028904315592612848
1,0.0,4.0,0.04040404,0.0732868813973033,0.04040404,0.04040404,0.04040404,-0.0328828413973033,0.028904315592612848
2,0.0,5.0,0.067340067,0.076233898440539,0.067340067,0.067340067,0.067340067,-0.008893831440539,0.04817385955948202
3,0.0,6.0,0.313131313,0.1092491931904379,0.313131313,0.313131313,0.313131313,0.203882119809562,0.22400844798889505
4,0.0,7.0,0.158249158,0.1085102338642655,0.158249158,0.158249158,0.158249158,0.0497389241357344,0.11320857035824275
5,0.0,8.0,0.037037037,0.1077515904529764,0.037037037,0.037037037,0.037037037,-0.0707145534529764,0.026495622865022384
6,0.0,9.0,0.707070707,0.1005625882747801,0.707070707,0.707070707,0.707070707,0.6065081187252198,0.5058255278783975
7,0.0,10.0,0.393939394,0.1070122087017867,0.393939394,0.393939394,0.393939394,0.2869271852982132,0.28181707988950255
8,0.0,11.0,0.050505051,0.0953444540732797,0.050505051,0.050505051,0.050505051,-0.0448394030732797,0.03613039520614788
9,0.0,12.0,0.205387205,0.0988626469094901,0.205387205,0.205387205,0.205387205,0.1065245580905098,0.14693027212141832
10,0.0,13.0,0.303030303,0.0956878118113541,0.303030303,0.303030303,0.303030303,0.2073424911886459,0.2167823690907418
11,0.0,14.0,0.043771044,0.0847562987852026,0.043771044,0.043771044,0.043771044,-0.0409852547852026,0.031313009035585135
12,0.0,15.0,0.043771044,0.0875431854939682,0.043771044,0.043771044,0.043771044,-0.0437721414939682,0.031313009035585135
13,0.0,16.0,0.04040404,0.1009505654933597,0.04040404,0.04040404,0.04040404,-0.0605465254933597,0.028904315592612848
14,0.0,17.0,0.303030303,0.1127156252648752,0.303030303,0.303030303,0.303030303,0.1903146777351247,0.2167823690907418
15,0.0,18.0,0.434343434,0.1360800152894428,0.434343434,0.434343434,0.434343434,0.298263418710557,0.31072139548211536
16,0.0,19.0,0.138047138,0.1469709983164853,0.138047138,0.138047138,0.138047138,-0.0089238603164852,0.09875641256193632
17,0.0,20.0,0.185185185,0.1682142906181385,0.185185185,0.185185185,0.185185185,0.0169708943818614,0.13247811432511192
18,0.0,21.0,0.252525253,0.1858025815911539,0.252525253,0.252525253,0.252525253,0.066722671408846,0.18065197459997576
19,0.0,22.0,0.097643098,0.1638990305272238,0.097643098,0.097643098,0.097643098,-0.0662559325272238,0.06985209696932347
20,0.0,23.0,0.094276094,0.1450999568455975,0.094276094,0.094276094,0.094276094,-0.0508238628455975,0.0674434035263512
21,1.0,0.0,0.043771044,0.1162489623506443,0.043771044,0.043771044,0.043771044,-0.0724779183506443,0.031313009035585135
22,1.0,1.0,0.033670034,0.0932812601170177,0.033670034,0.033670034,0.033670034,-0.0596112261170177,0.02408693013743192
23,1.0,2.0,0.037037037,0.0775472267765185,0.037037037,0.037037037,0.037037037,-0.0405101897765185,0.026495622865022384
24,1.0,3.0,0.033670034,0.0704920921172964,0.033670034,0.033670034,0.033670034,-0.0368220581172964,0.02408693013743192
25,1.0,4.0,0.043771044,0.0731267760558081,0.043771044,0.043771044,0.043771044,-0.0293557320558081,0.031313009035585135
26,1.0,5.0,0.111111111,0.076634358123775,0.111111111,0.111111111,0.111111111,0.0344767528762249,0.07948686859506715
27,1.0,6.0,0.407407407,0.1121053451093994,0.407407407,0.407407407,0.407407407,0.2953020618906005,0.2914518515152462
28,1.0,7.0,0.141414141,0.1090865122470613,0.141414141,0.141414141,0.141414141,0.0323276287529386,0.10116510528952678
29,1.0,8.0,0.333333333,0.1090057760129466,0.333333333,0.333333333,0.333333333,0.2243275569870533,0.23846060578520145
30,1.0,9.0,0.026936027,0.0927818299244231,0.026936027,0.026936027,0.026936027,-0.0658458029244231,0.01926954396686917
31,1.0,10.0,0.026936027,0.0935669683486064,0.026936027,0.026936027,0.026936027,-0.0666309413486064,0.01926954396686917
32,1.0,11.0,0.03030303,0.0852634248461969,0.03030303,0.03030303,0.03030303,-0.0549603948461969,0.02167823669445964
33,1.0,12.0,0.063973064,0.090407399296412,0.063973064,0.063973064,0.063973064,-0.026434335296412,0.04576516683189155
34,1.0,13.0,0.023569024,0.0906196544353165,0.023569024,0.023569024,0.023569024,-0.0670506304353165,0.016860851239278708
35,1.0,14.0,0.043771044,0.0815143699598051,0.043771044,0.043771044,0.043771044,-0.0377433259598051,0.031313009035585135
36,1.0,15.0,0.037037037,0.0846049043130091,0.037037037,0.037037037,0.037037037,-0.0475678673130091,0.026495622865022384
37,1.0,16.0,0.191919192,0.0991738638531927,0.191919192,0.191919192,0.191919192,0.0927453281468072,0.13729550049567465
38,1.0,17.0,0.212121212,0.1134014931789757,0.212121212,0.212121212,0.212121212,0.0987197188210243,0.15174765829198109
39,1.0,18.0,0.441077441,0.1364814772050753,0.441077441,0.441077441,0.441077441,0.3045959637949246,0.3155387816526781
40,1.0,19.0,0.124579125,0.1445020840309791,0.124579125,0.124579125,0.124579125,-0.0199229590309791,0.08912164093619264
41,1.0,20.0,0.228956229,0.15876760906406,0.228956229,0.228956229,0.228956229,0.0701886199359399,0.16379112336069704
42,1.0,21.0,0.191919192,0.1778570349043832,0.191919192,0.191919192,0.191919192,0.0140621570956167,0.13729550049567465
43,1.0,22.0,0.124579125,0.1606299531891616,0.124579125,0.124579125,0.124579125,-0.0360508281891616,0.08912164093619264
44,1.0,23.0,0.114478114,0.1462391147912513,0.114478114,0.114478114,0.114478114,-0.0317610007912512,0.08189556132265761
45,2.0,0.0,0.043771044,0.1202621361304663,0.043771044,0.043771044,0.043771044,-0.0764910921304663,0.031313009035585135
46,2.0,1.0,0.047138047,0.0919807259781698,0.047138047,0.047138047,0.047138047,-0.0448426789781698,0.0337217017631756
47,2.0,2.0,0.037037037,0.079223190137464,0.037037037,0.037037037,0.037037037,-0.042186153137464,0.026495622865022384
48,2.0,3.0,0.043771044,0.0745587369057981,0.043771044,0.043771044,0.043771044,-0.0307876929057981,0.031313009035585135
49,2.0,4.0,0.04040404,0.0720632522759321,0.04040404,0.04040404,0.04040404,-0.0316592122759321,0.028904315592612848
50,2.0,5.0,0.070707071,0.0758321716559141,0.070707071,0.070707071,0.070707071,-0.0051251006559141,0.0505825530024543
51,2.0,6.0,0.38047138,0.1077688644420694,0.38047138,0.38047138,0.38047138,0.2727025155579305,0.2721823075483771
52,2.0,7.0,0.272727273,0.1104184151620936,0.272727273,0.272727273,0.272727273,0.1623088578379063,0.1951041323962822
53,2.0,8.0,0.34006734,0.1085220868679095,0.34006734,0.34006734,0.34006734,0.2315452531320904,0.2432779919557642
54,2.0,9.0,0.397306397,0.0947531902714526,0.397306397,0.397306397,0.397306397,0.3025532067285473,0.28422577261709303
55,2.0,10.0,0.043771044,0.0969050118912461,0.043771044,0.043771044,0.043771044,-0.0531339678912461,0.031313009035585135
56,2.0,11.0,0.060606061,0.0899776319389082,0.060606061,0.060606061,0.060606061,-0.0293715709389082,0.043356474104301095
57,2.0,12.0,0.03030303,0.0930372727112031,0.03030303,0.03030303,0.03030303,-0.062734242711203,0.02167823669445964
58,2.0,13.0,0.074074074,0.0908437904896277,0.074074074,0.074074074,0.074074074,-0.0167697164896277,0.05299124573004477
59,2.0,14.0,0.043771044,0.0817510954842584,0.043771044,0.043771044,0.043771044,-0.0379800514842584,0.031313009035585135
60,2.0,15.0,0.04040404,0.084421900972844,0.04040404,0.04040404,0.04040404,-0.044017860972844,0.028904315592612848
61,2.0,16.0,0.114478114,0.0984327193739544,0.114478114,0.114478114,0.114478114,0.0160453946260455,0.08189556132265761
62,2.0,17.0,0.121212121,0.1128960158552312,0.121212121,0.121212121,0.121212121,0.0083161051447687,0.08671294749322037
63,2.0,18.0,0.521885522,0.1374265741641496,0.521885522,0.521885522,0.521885522,0.3844589478358504,0.37334741355328566
64,2.0,19.0,0.097643098,0.1462872809449739,0.097643098,0.097643098,0.097643098,-0.0486441829449739,0.06985209696932347
65,2.0,20.0,0.185185185,0.1597116263726131,0.185185185,0.185185185,0.185185185,0.0254735586273868,0.13247811432511192
66,2.0,21.0,0.158249158,0.1724778582449139,0.158249158,0.158249158,0.158249158,-0.0142287002449139,0.11320857035824275
67,2.0,22.0,0.168350168,0.1572909276950217,0.168350168,0.168350168,0.168350168,0.0110592403049782,0.12043464925639596
68,2.0,23.0,0.127946128,0.1403986612072109,0.127946128,0.127946128,0.127946128,-0.0124525332072109,0.0915303336637831
69,3.0,0.0,0.101010101,0.1145583287236782,0.101010101,0.101010101,0.101010101,-0.0135482277236782,0.07226078969691395
70,3.0,1.0,0.077441077,0.096692017279019,0.077441077,0.077441077,0.077441077,-0.0192509402790189,0.05539993845763523
71,3.0,2.0,0.084175084,0.0834401006660538,0.084175084,0.084175084,0.084175084,0.0007349833339461,0.06021732462819798
72,3.0,3.0,0.057239057,0.074972538329766,0.057239057,0.057239057,0.057239057,-0.017733481329766,0.04094778066132881
73,3.0,4.0,0.063973064,0.0723843949151944,0.063973064,0.063973064,0.063973064,-0.0084113309151944,0.04576516683189155
74,3.0,5.0,0.080808081,0.0783690735301288,0.080808081,0.080808081,0.080808081,0.0024390074698711,0.05780863190060752
75,3.0,6.0,0.269360269,0.1067324111974275,0.269360269,0.269360269,0.269360269,0.1626278578025725,0.19269543895330987
76,3.0,7.0,0.239057239,0.1116713018667275,0.239057239,0.239057239,0.239057239,0.1273859371332724,0.17101720225885025
77,3.0,8.0,0.279461279,0.1143859476956841,0.279461279,0.279461279,0.279461279,0.1650753313043158,0.19992151785146312
78,3.0,9.0,0.144781145,0.0990087380217432,0.144781145,0.144781145,0.144781145,0.0457724069782567,0.10357379873249907
79,3.0,10.0,0.03030303,0.099344963687419,0.03030303,0.03030303,0.03030303,-0.069041933687419,0.02167823669445964
